Category,Sentiment,sentiment_count,row_count,pct_sentiment
ART_AND_DESIGN,Negative,39,258,15.11627906976744
ART_AND_DESIGN,Neutral,43,258,16.666666666666664
ART_AND_DESIGN,Positive,176,258,68.21705426356588
AUTO_AND_VEHICLES,Negative,2,34,5.88235294117647
AUTO_AND_VEHICLES,Neutral,1,34,2.941176470588235
AUTO_AND_VEHICLES,Positive,31,34,91.17647058823529
BEAUTY,Negative,9,65,13.846153846153847
BEAUTY,Neutral,10,65,15.384615384615385
BEAUTY,Positive,46,65,70.76923076923077
BOOKS_AND_REFERENCE,Negative,102,607,16.80395387149918
BOOKS_AND_REFERENCE,Neutral,83,607,13.673805601317957
BOOKS_AND_REFERENCE,Positive,422,607,69.52224052718286
BUSINESS,Negative,212,1426,14.866760168302944
BUSINESS,Neutral,340,1426,23.842917251051894
BUSINESS,Positive,874,1426,61.29032258064516
COMMUNICATION,Negative,225,1134,19.841269841269842
COMMUNICATION,Neutral,193,1134,17.019400352733687
COMMUNICATION,Positive,716,1134,63.13932980599647
DATING,Negative,271,1161,23.34194659776055
DATING,Neutral,147,1161,12.661498708010335
DATING,Positive,743,1161,63.99655469422911
EDUCATION,Negative,183,1390,13.16546762589928
EDUCATION,Neutral,76,1390,5.467625899280575
EDUCATION,Positive,1131,1390,81.36690647482014
ENTERTAINMENT,Negative,189,980,19.28571428571429
ENTERTAINMENT,Neutral,125,980,12.755102040816327
ENTERTAINMENT,Positive,666,980,67.9591836734694
EVENTS,Negative,2,57,3.508771929824561
EVENTS,Neutral,3,57,5.263157894736842
EVENTS,Positive,52,57,91.22807017543859
FAMILY,Negative,1116,3912,28.52760736196319
FAMILY,Neutral,267,3912,6.825153374233128
FAMILY,Positive,2529,3912,64.64723926380368
FINANCE,Negative,306,1337,22.887060583395662
FINANCE,Neutral,147,1337,10.99476439790576
FINANCE,Positive,884,1337,66.11817501869858
FOOD_AND_DRINK,Negative,86,547,15.722120658135283
FOOD_AND_DRINK,Neutral,89,547,16.270566727605118
FOOD_AND_DRINK,Positive,372,547,68.00731261425959
GAME,Negative,6340,16335,38.81236608509336
GAME,Neutral,709,16335,4.340373431282522
GAME,Positive,9286,16335,56.84726048362412
HEALTH_AND_FITNESS,Negative,187,1621,11.536088834053054
HEALTH_AND_FITNESS,Neutral,130,1621,8.019740900678594
HEALTH_AND_FITNESS,Positive,1304,1621,80.44417026526835
HOUSE_AND_HOME,Negative,19,233,8.15450643776824
HOUSE_AND_HOME,Neutral,56,233,24.034334763948497
HOUSE_AND_HOME,Positive,158,233,67.81115879828327
LIBRARIES_AND_DEMO,Negative,47,294,15.98639455782313
LIBRARIES_AND_DEMO,Neutral,30,294,10.204081632653061
LIBRARIES_AND_DEMO,Positive,217,294,73.80952380952381
LIFESTYLE,Negative,103,455,22.63736263736264
LIFESTYLE,Neutral,89,455,19.560439560439562
LIFESTYLE,Positive,263,455,57.802197802197796
MAPS_AND_NAVIGATION,Negative,3,22,13.636363636363635
MAPS_AND_NAVIGATION,Neutral,3,22,13.636363636363635
MAPS_AND_NAVIGATION,Positive,16,22,72.72727272727273
MEDICAL,Negative,244,1515,16.105610561056103
MEDICAL,Neutral,166,1515,10.957095709570957
MEDICAL,Positive,1105,1515,72.93729372937293
NEWS_AND_MAGAZINES,Negative,319,968,32.95454545454545
NEWS_AND_MAGAZINES,Neutral,60,968,6.198347107438017
NEWS_AND_MAGAZINES,Positive,589,968,60.847107438016536
PARENTING,Negative,18,185,9.72972972972973
PARENTING,Neutral,41,185,22.162162162162165
PARENTING,Positive,126,185,68.10810810810811
PERSONALIZATION,Negative,156,862,18.097447795823665
PERSONALIZATION,Neutral,121,862,14.037122969837586
PERSONALIZATION,Positive,585,862,67.86542923433875
PHOTOGRAPHY,Negative,328,1670,19.64071856287425
PHOTOGRAPHY,Neutral,158,1670,9.461077844311378
PHOTOGRAPHY,Positive,1184,1670,70.89820359281437
PRODUCTIVITY,Negative,304,1647,18.45780206435944
PRODUCTIVITY,Neutral,232,1647,14.08621736490589
PRODUCTIVITY,Positive,1111,1647,67.45598057073467
SHOPPING,Negative,296,1435,20.627177700348433
SHOPPING,Neutral,198,1435,13.797909407665504
SHOPPING,Positive,941,1435,65.57491289198606
SOCIAL,Negative,332,1149,28.894691035683202
SOCIAL,Neutral,238,1149,20.713664055700608
SOCIAL,Positive,579,1149,50.391644908616186
SPORTS,Negative,327,932,35.08583690987124
SPORTS,Neutral,98,932,10.515021459227468
SPORTS,Positive,507,932,54.39914163090128
TOOLS,Negative,86,604,14.23841059602649
TOOLS,Neutral,114,604,18.874172185430464
TOOLS,Positive,404,604,66.88741721854305
TRAVEL_AND_LOCAL,Negative,497,1706,29.13247362250879
TRAVEL_AND_LOCAL,Neutral,236,1706,13.833528722157093
TRAVEL_AND_LOCAL,Positive,973,1706,57.03399765533411
VIDEO_PLAYERS,Negative,3,34,8.823529411764707
VIDEO_PLAYERS,Neutral,8,34,23.52941176470588
VIDEO_PLAYERS,Positive,23,34,67.64705882352942
